Filename             = m851_079.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 807
Profile              = 79
WaterDepth           = 3366
Date                 = 2011/07/21
Time                 = 14:43
Latitude             = 54 50.25 N
Longitude            = 043 27.46 W
Columns              = p:t:pt:s:sth:o
 179.0  3.8813  3.8690 34.7239 27.5801  6.819
 180.0  3.8824  3.8701 34.7245 27.5804  6.804
 181.0  3.8987  3.8862 34.7284 27.5819  6.793
 182.0  3.9219  3.9093 34.7328 27.5831  6.785
 183.0  3.9309  3.9182 34.7339 27.5830  6.782
 184.0  3.9332  3.9205 34.7343 27.5831  6.765
 185.0  3.9329  3.9201 34.7345 27.5832  6.740
 186.0  3.9350  3.9221 34.7351 27.5836  6.728
 187.0  3.9388  3.9258 34.7357 27.5837  6.728
 188.0  3.9379  3.9249 34.7357 27.5838  6.734
 189.0  3.9478  3.9346 34.7387 27.5851  6.734
 190.0  3.9609  3.9476 34.7416 27.5861  6.730
 191.0  3.9704  3.9571 34.7438 27.5868  6.726
 192.0  3.9717  3.9583 34.7465 27.5889  6.716
 193.0  3.9622  3.9488 34.7472 27.5905  6.708
 194.0  3.9575  3.9440 34.7476 27.5912  6.695
 195.0  3.9314  3.9179 34.7456 27.5923  6.690
 196.0  3.8975  3.8840 34.7436 27.5942  6.693
 197.0  3.8787  3.8651 34.7427 27.5955  6.697
 198.0  3.8678  3.8541 34.7418 27.5959  6.722
 199.0  3.8607  3.8470 34.7412 27.5961  6.768
 200.0  3.8548  3.8411 34.7405 27.5962  6.805
 201.0  3.8478  3.8339 34.7398 27.5964  6.824
 202.0  3.8399  3.8260 34.7392 27.5967  6.833
 203.0  3.8361  3.8222 34.7390 27.5969  6.834
 204.0  3.8341  3.8201 34.7389 27.5970  6.834
 205.0  3.8295  3.8154 34.7383 27.5970  6.836
 206.0  3.8140  3.7999 34.7370 27.5976  6.840
 207.0  3.7859  3.7717 34.7351 27.5990  6.843
 208.0  3.7535  3.7394 34.7325 27.6001  6.850
 209.0  3.7022  3.6880 34.7281 27.6018  6.871
 210.0  3.6498  3.6357 34.7255 27.6050  6.892
 211.0  3.6238  3.6097 34.7255 27.6076  6.909
 212.0  3.6147  3.6006 34.7267 27.6095  6.940
 213.0  3.6304  3.6161 34.7311 27.6114  6.973
 214.0  3.6498  3.6354 34.7345 27.6122  6.999
 215.0  3.6521  3.6377 34.7347 27.6122  7.016
 216.0  3.6544  3.6398 34.7355 27.6125  7.016
 217.0  3.6577  3.6431 34.7360 27.6126  7.007
 218.0  3.6603  3.6456 34.7363 27.6126  7.002
 219.0  3.6708  3.6560 34.7387 27.6135  7.003
 220.0  3.7019  3.6870 34.7446 27.6151  7.001
 221.0  3.7373  3.7223 34.7498 27.6157  7.001
 222.0  3.7638  3.7487 34.7538 27.6162  7.006
 223.0  3.7912  3.7760 34.7584 27.6171  6.999
 224.0  3.8055  3.7901 34.7606 27.6174  6.973
 225.0  3.8077  3.7923 34.7613 27.6178  6.941
 226.0  3.8179  3.8024 34.7636 27.6185  6.913
 227.0  3.8419  3.8263 34.7676 27.6192  6.899
 228.0  3.8617  3.8459 34.7701 27.6193  6.894
 229.0  3.8639  3.8480 34.7709 27.6196  6.877
 230.0  3.8609  3.8450 34.7715 27.6205  6.846
 231.0  3.8682  3.8522 34.7749 27.6224  6.817
 232.0  3.9171  3.9009 34.7829 27.6238  6.803
 233.0  3.9784  3.9621 34.7915 27.6243  6.812
 234.0  4.0080  3.9916 34.7971 27.6257  6.781
 235.0  4.0396  4.0230 34.8057 27.6292  6.690
 236.0  4.1081  4.0913 34.8178 27.6316  6.613
 237.0  4.1619  4.1449 34.8244 27.6312  6.582
 238.0  4.1680  4.1510 34.8250 27.6311  6.569
