Filename             = m851_018.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 711
Profile              = 18
WaterDepth           = 3385
Date                 = 2011/06/30
Time                 = 20:23
Latitude             = 47 37.13 N
Longitude            = 029 53.86 W
Columns              = p:t:pt:s:sth:o
 315.0 11.4306 11.3904 35.4865 27.0826  5.629
 316.0 11.4268 11.3864 35.4861 27.0830  5.634
 317.0 11.4149 11.3745 35.4871 27.0860  5.641
 318.0 11.3898 11.3492 35.4857 27.0896  5.638
 319.0 11.3685 11.3279 35.4805 27.0896  5.622
 320.0 11.3606 11.3198 35.4763 27.0877  5.590
 321.0 11.3532 11.3124 35.4750 27.0881  5.561
 322.0 11.3436 11.3027 35.4729 27.0883  5.552
 323.0 11.3357 11.2946 35.4711 27.0883  5.551
 324.0 11.3235 11.2823 35.4712 27.0908  5.550
 325.0 11.3031 11.2619 35.4704 27.0939  5.550
 326.0 11.2723 11.2310 35.4689 27.0984  5.552
 327.0 11.2382 11.1968 35.4622 27.0995  5.543
 328.0 11.2212 11.1798 35.4536 27.0960  5.522
 329.0 11.2189 11.1774 35.4508 27.0943  5.503
 330.0 11.2184 11.1768 35.4506 27.0942  5.488
 331.0 11.2163 11.1745 35.4508 27.0947  5.482
 332.0 11.2097 11.1678 35.4505 27.0958  5.486
 333.0 11.2021 11.1601 35.4498 27.0966  5.489
 334.0 11.1920 11.1499 35.4485 27.0975  5.489
 335.0 11.1680 11.1258 35.4466 27.1005  5.493
 336.0 11.1411 11.0989 35.4415 27.1014  5.495
 337.0 11.1288 11.0864 35.4373 27.1004  5.493
 338.0 11.1218 11.0794 35.4365 27.1011  5.486
 339.0 11.1146 11.0721 35.4354 27.1016  5.479
 340.0 11.1075 11.0648 35.4340 27.1018  5.474
 341.0 11.1016 11.0588 35.4323 27.1016  5.464
 342.0 11.0958 11.0529 35.4307 27.1014  5.442
 343.0 11.0875 11.0445 35.4292 27.1018  5.417
 344.0 11.0832 11.0401 35.4277 27.1014  5.409
 345.0 11.1026 11.0593 35.4254 27.0961  5.410
 346.0 11.1223 11.0789 35.4316 27.0974  5.400
 347.0 11.0944 11.0509 35.4440 27.1122  5.367
 348.0 11.0423 10.9988 35.4381 27.1171  5.289
 349.0 11.0161 10.9725 35.4232 27.1103  5.196
 350.0 11.0018 10.9582 35.4198 27.1102  5.183
 351.0 10.9835 10.9398 35.4166 27.1111  5.223
 352.0 10.9696 10.9257 35.4136 27.1113  5.248
 353.0 10.9535 10.9096 35.4116 27.1126  5.260
 354.0 10.9377 10.8937 35.4085 27.1131  5.269
 355.0 10.9278 10.8837 35.4059 27.1129  5.272
 356.0 10.9223 10.8781 35.4033 27.1119  5.273
 357.0 10.9198 10.8755 35.4025 27.1117  5.271
 358.0 10.9155 10.8711 35.4023 27.1124  5.264
 359.0 10.9131 10.8685 35.4015 27.1122  5.250
 360.0 10.9190 10.8743 35.4011 27.1109  5.226
 361.0 10.9372 10.8924 35.4004 27.1071  5.195
 362.0 10.9866 10.9414 35.4047 27.1015  5.165
 363.0 11.0336 10.9882 35.4169 27.1025  5.143
 364.0 11.0558 11.0102 35.4291 27.1080  5.111
 365.0 11.0704 11.0247 35.4375 27.1119  5.031
 366.0 11.0674 11.0215 35.4425 27.1164  4.915
 367.0 11.0269 10.9810 35.4434 27.1245  4.854
 368.0 10.9827 10.9367 35.4362 27.1269  4.848
 369.0 10.9613 10.9153 35.4289 27.1251  4.841
 370.0 10.9442 10.8982 35.4262 27.1261  4.827
 371.0 10.9192 10.8731 35.4233 27.1284  4.815
 372.0 10.8791 10.8330 35.4197 27.1328  4.812
 373.0 10.8321 10.7860 35.4077 27.1320  4.827
 374.0 10.7961 10.7499 35.3934 27.1273  4.874
 375.0 10.7834 10.7372 35.3887 27.1259  4.910
 376.0 10.7834 10.7371 35.3881 27.1255  4.922
 377.0 10.7856 10.7391 35.3879 27.1250  4.925
 378.0 10.7896 10.7430 35.3884 27.1246  4.922
 379.0 10.7935 10.7467 35.3897 27.1250  4.921
 380.0 10.7973 10.7504 35.3909 27.1253  4.914
 381.0 10.8020 10.7550 35.3915 27.1249  4.899
 382.0 10.8183 10.7711 35.3921 27.1225  4.886
 383.0 10.8352 10.7879 35.3996 27.1253  4.879
 384.0 10.7914 10.7440 35.4159 27.1459  4.878
 385.0 10.6967 10.6494 35.4103 27.1585  4.852
